Tornado Number per Year,Year,Month,Day,Date,Time,TimeZone,State,State FIPS Number,Number of Tornado per State per Year,Magnitude,Injuries,Fatalities,Property Loss ($),Crop Loss (millions $),Starting Latitude,Starting Longitude,Ending Latitude,Ending Longitude,Length (miles),Width (yards),fc
308,2000,6,20,6/20/00,19:20:00,3,OH,39,13,0,0,0,0,0,40.37,-84.05,40.37,-84.05,0.3,20,0
986,2000,6,20,6/20/00,20:08:00,3,IL,17,47,0,0,0,0.02,0,40.2,-88.48,40.2,-88.43,2.6,50,0
309,2000,6,21,6/21/00,2:15:00,3,IN,18,10,0,0,0,0.04,0,39.85,-85.03,39.83,-84.9,0.1,20,0
252,2000,6,21,6/21/00,17:30:00,3,PA,42,4,0,0,0,0,0,40.25,-77.2,40.25,-77.18,0.2,30,0
989,2000,6,21,6/21/00,20:10:00,3,MD,24,4,1,0,0,0.25,0,39.08,-77.07,39.1,-77,1,30,0
990,2000,6,21,6/21/00,20:28:00,3,MD,24,5,1,0,0,0.15,0,39.1,-76.83,39.1,-76.82,1,150,0
297,2000,6,22,6/22/00,10:38:00,3,FL,12,26,0,0,0,0,0,25.85,-80.27,25.85,-80.27,0.2,10,0
978,2000,6,22,6/22/00,13:46:00,3,CO,8,33,0,0,0,0,0,39.73,-103.7,39.73,-103.7,0.1,20,0
979,2000,6,22,6/22/00,13:48:00,3,CO,8,34,0,0,0,0,0,39.72,-104.18,39.72,-104.18,0.1,20,0
336,2000,6,22,6/22/00,14:45:00,3,SC,45,10,1,0,0,0,0,32.87,-81.12,32.87,-81.12,2,170,0
354,2000,6,22,6/22/00,14:49:00,3,NC,37,18,0,0,0,0,0,36.27,-76.53,36.27,-76.53,0.2,20,0
303,2000,6,22,6/22/00,16:35:00,3,TX,48,112,0,0,0,0,0,33.97,-98.68,33.97,-98.68,0.2,10,0
292,2000,6,22,6/22/00,18:03:00,3,CO,8,35,0,0,0,0,0,39.7,-102.38,39.7,-102.38,0.2,50,0
254,2000,6,23,6/23/00,13:18:00,3,IA,19,34,0,0,0,0,0,40.77,-93.32,40.77,-93.32,0.2,20,0
980,2000,6,23,6/23/00,17:08:00,3,CO,8,36,0,0,0,0,0,40.57,-102.9,40.57,-102.9,0.1,20,0
981,2000,6,23,6/23/00,17:29:00,3,CO,8,37,0,0,0,0,0,40.6,-102.62,40.6,-102.62,0.1,20,0
982,2000,6,23,6/23/00,17:33:00,3,CO,8,38,0,0,0,0,0,40.58,-102.78,40.58,-102.78,0.1,20,0
332,2000,6,23,6/23/00,18:25:00,3,FL,12,27,0,0,0,0,0,30,-84.45,30,-84.45,0.1,30,0
333,2000,6,24,6/24/00,7:10:00,3,FL,12,28,0,0,0,0,0,29.83,-84.68,29.83,-84.68,0.1,20,0
306,2000,6,24,6/24/00,13:40:00,3,IL,17,48,1,2,0,0,0,38.47,-90.15,38.47,-90.05,6.2,100,0
310,2000,6,24,6/24/00,19:17:00,3,IN,18,11,1,0,0,0.04,0,39.83,-84.87,39.83,-84.87,0.2,50,0
396,2000,6,25,6/25/00,12:35:00,3,NE,31,32,0,0,0,0,0,41.27,-98.12,41.27,-98.1,1,40,0
293,2000,6,25,6/25/00,14:40:00,3,KS,20,34,0,0,0,0,0,38.3,-101.75,38.3,-101.75,0.2,50,0
940,2000,6,25,6/25/00,15:53:00,3,TX,48,113,0,0,0,0,0,35.62,-101.38,35.58,-101.27,1.5,20,0
351,2000,6,25,6/25/00,15:57:00,3,FL,12,29,0,0,0,0.1,0,28.05,-82.6,28.03,-82.58,0.5,10,0
255,2000,6,25,6/25/00,16:22:00,3,IA,19,35,0,0,0,0,0,41.32,-93.73,41.32,-93.73,0.2,20,0
941,2000,6,25,6/25/00,16:23:00,3,TX,48,114,0,0,0,0,0,35.57,-101.2,35.57,-101.2,0.1,20,0
330,2000,6,25,6/25/00,17:11:00,3,LA,22,30,0,0,0,0,0,30.85,-90.15,30.85,-90.15,0.1,30,0
289,2000,6,26,6/26/00,12:36:00,3,MO,29,24,0,0,0,0,0,37.23,-89.67,37.23,-89.65,0.2,30,0
352,2000,6,27,6/27/00,15:35:00,3,FL,12,30,0,0,0,0.02,0,27.9,-81.98,27.9,-81.98,0.1,0,0
972,2000,6,28,6/28/00,11:20:00,3,NM,35,1,0,0,0,0,0,34.82,-103.32,34.82,-103.32,0.1,20,0
973,2000,6,28,6/28/00,11:40:00,3,NM,35,2,0,0,0,0,0,34.75,-103.32,34.75,-103.32,0.1,20,0
963,2000,6,29,6/29/00,13:43:00,3,NE,31,33,0,0,0,0,0,41.93,-101.2,41.93,-101.2,0.1,20,0
964,2000,6,29,6/29/00,14:00:00,3,NE,31,34,0,0,0,0,0,41.88,-101.27,41.88,-101.27,0.1,20,0
397,2000,6,29,6/29/00,16:40:00,3,NE,31,35,0,0,0,0.03,0,40.72,-100.2,40.7,-100.2,0.8,20,0
948,2000,6,29,6/29/00,17:29:00,3,KS,20,35,1,0,0,0,0,39.63,-101.6,39.6,-101.53,2.5,650,0
949,2000,6,29,6/29/00,17:43:00,3,KS,20,36,0,0,0,0,0,39.53,-101.45,39.53,-101.45,0.2,50,0
950,2000,6,29,6/29/00,18:34:00,3,KS,20,37,0,0,0,0.25,0,39.63,-99.7,39.63,-99.7,0.2,70,0
398,2000,6,29,6/29/00,19:02:00,3,KS,20,38,0,0,0,0,0,39.43,-99.43,39.43,-99.43,0.3,10,0
313,2000,7,1,7/1/00,17:20:00,3,FL,12,31,0,0,0,0.01,0,24.68,-81.38,24.68,-81.38,0.2,10,0
445,2000,7,2,7/2/00,14:50:00,3,TX,48,115,0,0,0,0,0,30.45,-102.87,30.45,-102.87,0.1,20,0
374,2000,7,2,7/2/00,15:35:00,3,IA,19,36,0,0,0,0,0,43.37,-91.42,43.37,-91.37,2,50,0
995,2000,7,2,7/2/00,17:30:00,3,WI,55,9,1,0,0,1.54,0,42.9,-87.98,42.85,-87.92,6.8,70,0
299,2000,7,2,7/2/00,20:05:00,3,MT,30,3,0,0,0,0,0,47.98,-106.63,47.98,-106.63,0.5,200,0
394,2000,7,3,7/3/00,16:50:00,3,KS,20,39,0,0,0,0,0,38.32,-99.73,38.32,-99.73,0.1,50,0
378,2000,7,3,7/3/00,17:30:00,3,NM,35,3,0,0,0,0,0,33.93,-103.65,33.93,-103.65,0.1,30,0
359,2000,7,3,7/3/00,18:10:00,3,NE,31,36,0,0,0,0,0,40.38,-100.58,40.38,-100.58,0.1,20,0
300,2000,7,3,7/3/00,19:40:00,3,MT,30,4,0,0,0,0,0,47.83,-106.63,47.83,-106.63,0.5,50,0
365,2000,7,4,7/4/00,16:10:00,3,ND,38,12,1,0,0,0,0,48.15,-99.67,48.15,-99.67,3,50,0
366,2000,7,4,7/4/00,16:30:00,3,ND,38,13,0,0,0,0,0,47.6,-99.62,47.62,-99.57,3,40,0
360,2000,7,4,7/4/00,17:26:00,3,OH,39,14,0,0,0,0,0,39.02,-83.92,39.02,-83.92,0.1,50,0
372,2000,7,4,7/4/00,21:25:00,3,ND,38,14,0,0,0,0,0,46.17,-98.58,46.17,-98.58,0,40,0
373,2000,7,4,7/4/00,21:45:00,3,ND,38,15,0,0,0,0,0,46.37,-98.38,46.37,-98.35,2,50,0
347,2000,7,5,7/5/00,17:25:00,3,MT,30,5,0,0,0,0,0,45.45,-105.93,45.45,-105.93,0.5,50,0
363,2000,7,5,7/5/00,17:36:00,3,NE,31,37,0,0,0,0,0,41.75,-103.22,41.75,-103.22,0.1,30,0
364,2000,7,5,7/5/00,17:45:00,3,NE,31,38,0,0,0,0,0,41.55,-103.48,41.55,-103.48,0.3,40,0
346,2000,7,5,7/5/00,19:04:00,3,MT,30,6,0,0,0,0,0,45.6,-105.63,45.6,-105.63,0.5,50,0
475,2000,7,5,7/5/00,19:15:00,3,CA,6,6,0,0,0,0,0,39.68,-122.3,39.68,-122.28,0.2,0,0
437,2000,7,5,7/5/00,21:10:00,3,CO,8,39,3,2,0,0.75,0,40.68,-102.7,40.6,-102.72,6,1320,0
343,2000,7,5,7/5/00,21:18:00,3,MT,30,7,0,0,0,0,0,47.23,-110.93,47.23,-110.93,1,10,0
367,2000,7,6,7/6/00,18:31:00,3,ND,38,16,0,0,0,0,0,46.32,-102.85,46.42,-102.65,20,50,0
1018,2000,7,7,7/7/00,10:20:00,3,MN,27,8,1,0,0,0,0,45,-92.88,45,-92.88,0.1,30,0
421,2000,7,7,7/7/00,15:25:00,3,GA,13,19,0,0,0,0.01,0,31.25,-82.25,31.25,-82.25,0.1,10,0
1015,2000,7,7,7/7/00,18:58:00,3,MN,27,9,0,0,0,0,0,45.7,-95.53,45.7,-95.53,0.3,20,0
1016,2000,7,7,7/7/00,19:22:00,3,MN,27,10,0,0,0,0,0,45.63,-95.48,45.62,-95.45,1,20,0
1017,2000,7,7,7/7/00,19:55:00,3,MN,27,11,0,0,0,0,0,45.47,-95.17,45.47,-95.17,0.1,20,0
392,2000,7,8,7/8/00,17:35:00,3,WI,55,10,0,0,0,0,0,45.72,-92.3,45.73,-92.3,0.6,20,0
344,2000,7,8,7/8/00,18:25:00,3,MT,30,8,0,0,0,0,0,47.35,-110.15,47.35,-110.15,2,20,0
361,2000,7,8,7/8/00,20:20:00,3,MN,27,12,2,3,0,0.5,0,46.4,-95.02,46.35,-94.78,10,60,0
375,2000,7,9,7/9/00,3:00:00,3,WI,55,11,1,0,0,0.05,0,43.82,-90.58,43.8,-90.57,0.9,30,0
957,2000,7,9,7/9/00,18:38:00,3,IN,18,12,1,0,0,0.05,0,41.43,-85.15,41.43,-85.15,0.1,30,0
958,2000,7,9,7/9/00,18:45:00,3,IN,18,13,0,0,0,0.01,0,41.43,-85.1,41.43,-85.1,0.1,50,0
1025,2000,7,9,7/9/00,20:15:00,3,IA,19,37,1,0,0,0.06,0,43.28,-96.13,43.23,-96.17,3,100,0
424,2000,7,9,7/9/00,21:30:00,3,IA,19,38,1,0,0,0.1,0,43.18,-95.87,43.18,-95.87,0.5,100,0
339,2000,7,10,7/10/00,13:30:00,3,FL,12,32,0,0,0,0,0,26.68,-80.67,26.68,-80.67,0.1,10,0
340,2000,7,10,7/10/00,14:48:00,3,FL,12,33,0,0,0,0,0,25.77,-80.68,25.77,-80.68,0.1,10,0
994,2000,7,10,7/10/00,15:30:00,3,MD,24,6,1,0,0,0.06,0,39.1,-76.8,39.1,-76.82,1.3,100,0
301,2000,7,10,7/10/00,18:15:00,3,MT,30,9,0,0,0,0,0,48.4,-106.93,48.4,-106.93,0.5,50,0
1031,2000,7,10,7/10/00,20:38:00,3,CO,8,40,0,0,0,0,0,40,-104.77,40,-104.77,0.1,20,0
1032,2000,7,10,7/10/00,21:30:00,3,CO,8,41,0,0,0,0,0,40.03,-104.37,40.03,-104.37,0.1,20,0
406,2000,7,11,7/11/00,12:45:00,3,SD,46,4,0,0,0,0,0,45.4,-98.48,45.4,-98.48,0.1,10,0
341,2000,7,11,7/11/00,14:49:00,3,FL,12,34,0,0,0,0,0,26.07,-80.25,26.07,-80.25,0.1,10,0
1026,2000,7,11,7/11/00,16:16:00,3,SD,46,5,0,0,0,0,0,44.37,-97.2,44.37,-97.2,0.1,50,0
1027,2000,7,11,7/11/00,16:36:00,3,SD,46,6,0,0,0,0,0,44.37,-97.2,44.37,-97.2,0.1,50,0
425,2000,7,11,7/11/00,16:55:00,3,SD,46,7,2,0,0,0.05,0,43.97,-97.17,43.95,-97.12,2,100,0
426,2000,7,11,7/11/00,17:55:00,3,SD,46,8,0,0,0,0,0,43.73,-97.28,43.73,-97.28,0.1,50,0
427,2000,7,11,7/11/00,17:56:00,3,SD,46,9,0,0,0,0,0,43.83,-96.75,43.83,-96.75,0.1,50,0
428,2000,7,11,7/11/00,17:59:00,3,SD,46,10,0,0,0,0,0,43.6,-97.3,43.6,-97.3,0.1,50,0
429,2000,7,11,7/11/00,19:36:00,3,IA,19,39,0,0,0,0,0,43.47,-95.77,43.47,-95.77,0.1,50,0
357,2000,7,12,7/12/00,16:20:00,3,TX,48,116,0,0,0,0,0,33.92,-98.2,33.92,-98.2,0.3,30,0
438,2000,7,12,7/12/00,16:27:00,3,CO,8,42,0,0,0,0,0,40.17,-103.62,40.33,-103.62,0.1,20,0
342,2000,7,13,7/13/00,12:00:00,3,TX,48,117,1,0,0,0,0,33,-95.25,33.02,-95.22,0.7,50,0
404,2000,7,13,7/13/00,14:55:00,3,WI,55,12,0,0,0,0,0,44.7,-87.48,44.7,-87.48,0.1,50,0
410,2000,7,14,7/14/00,14:15:00,3,FL,12,35,0,0,0,0,0,27.93,-82.28,27.93,-82.28,0.1,0,0
1035,2000,7,14,7/14/00,17:08:00,3,VA,51,6,0,0,0,0,0,37.55,-76.33,37.55,-76.33,0.5,20,0
409,2000,7,14,7/14/00,18:00:00,3,KY,21,15,1,1,0,0.5,0,37.32,-83.97,37.32,-83.97,1,300,0
1036,2000,7,14,7/14/00,18:09:00,3,VA,51,7,0,0,0,0,0,37.5,-76.3,37.5,-76.3,0.5,20,0
411,2000,7,15,7/15/00,9:26:00,3,FL,12,36,0,0,0,0,0,26.98,-82.22,26.98,-82.2,1,0,0
416,2000,7,15,7/15/00,9:33:00,3,FL,12,37,0,0,0,0,0,28.32,-82.58,28.32,-82.58,0.1,0,0
391,2000,7,15,7/15/00,15:30:00,3,SD,46,11,0,0,0,0,0,43.42,-101.2,43.42,-101.2,0.5,10,0
417,2000,7,15,7/15/00,15:30:00,3,MD,24,7,0,0,0,0,0,38.75,-76.18,38.75,-76.18,0.3,20,0
368,2000,7,15,7/15/00,16:53:00,3,ND,38,17,0,0,0,0,0,48.88,-100.23,48.75,-100.1,8,40,0
370,2000,7,15,7/15/00,17:10:00,3,ND,38,18,0,0,0,0,0,48.7,-100.43,48.65,-100.4,3,30,0
993,2000,7,15,7/15/00,19:05:00,3,ND,38,19,0,0,0,0.05,0,48.2,-99.1,48.2,-99.1,1,50,0
992,2000,7,15,7/15/00,19:25:00,3,ND,38,20,0,0,0,0,0,48.13,-98.92,48.13,-98.92,0.5,50,0
447,2000,7,16,7/16/00,18:20:00,3,MS,28,15,0,0,0,0,0,30.38,-88.5,30.38,-88.5,0.1,20,0
389,2000,7,16,7/16/00,18:28:00,3,CO,8,43,0,0,0,0,0,37.12,-102.15,37.32,-102.07,15,50,0
448,2000,7,16,7/16/00,18:32:00,3,MS,28,16,0,0,0,0,0,30.45,-89.35,30.45,-89.35,0.1,20,0
358,2000,7,17,7/17/00,15:47:00,3,KS,20,40,0,0,0,0,0,39.25,-95.23,39.25,-95.23,0.1,50,0
388,2000,7,17,7/17/00,17:40:00,3,ID,16,6,0,0,0,0,0,43.72,-112.2,43.72,-112.2,2,10,0
412,2000,7,18,7/18/00,11:30:00,3,FL,12,38,0,0,0,0,0,29.25,-82.73,29.25,-82.73,0.1,0,0
441,2000,7,18,7/18/00,12:00:00,3,ME,23,1,1,0,0,0,0,44.52,-70.68,44.52,-70.68,0.5,150,0
446,2000,7,18,7/18/00,14:15:00,3,LA,22,31,0,0,0,0,0,29.38,-89.6,29.38,-89.6,0.1,20,0
379,2000,7,18,7/18/00,16:55:00,3,MO,29,25,1,0,0,0.07,0,39,-91.4,38.98,-91.4,4,50,0
382,2000,7,18,7/18/00,17:50:00,3,IL,17,49,0,0,0,0,0,39.17,-90.13,39.17,-90.13,0.1,40,0
383,2000,7,18,7/18/00,17:58:00,3,MO,29,26,0,0,0,0,0,38.98,-90.98,38.98,-90.98,0.1,40,0
380,2000,7,18,7/18/00,18:30:00,3,IL,17,50,0,0,0,0,0,38.95,-90.35,38.95,-90.35,0.1,40,0
384,2000,7,18,7/18/00,18:35:00,3,MO,29,27,0,0,0,0,0,38.95,-90.92,38.95,-90.92,0.1,40,0
436,2000,7,18,7/18/00,18:57:00,3,ID,16,7,0,0,0,0,0,43.45,-116.45,43.45,-116.45,0.1,10,0
381,2000,7,18,7/18/00,19:10:00,3,IL,17,51,0,0,0,0,0,39.1,-90.15,39.1,-90.15,0.1,40,0
401,2000,7,19,7/19/00,22:05:00,3,CO,8,44,0,0,0,0,0,39.67,-102.3,39.67,-102.3,0.2,10,0
422,2000,7,20,7/20/00,13:35:00,3,FL,12,39,0,0,0,0,0,30.32,-83.17,30.32,-83.1,0.1,10,0
998,2000,7,20,7/20/00,13:58:00,3,CO,8,45,0,0,0,0,0,38.87,-104.72,38.87,-104.72,0.1,20,0
387,2000,7,20,7/20/00,15:10:00,3,TN,47,26,0,0,0,0,0,35.28,-87.32,35.28,-87.32,0.1,20,0
399,2000,7,20,7/20/00,16:55:00,3,NE,31,39,0,0,0,0,0,40.48,-99.68,40.48,-99.68,0.1,10,0
1033,2000,7,20,7/20/00,17:05:00,3,CO,8,46,0,0,0,0,0,40.03,-103.03,40.03,-103.03,0.1,20,0
1034,2000,7,20,7/20/00,17:21:00,3,CO,8,47,0,0,0,0,0,39.78,-103.58,39.78,-103.58,0.1,20,0
997,2000,7,20,7/20/00,18:20:00,3,CO,8,48,0,0,0,0,0,37.6,-102.87,37.6,-102.87,0.5,50,0
395,2000,7,20,7/20/00,22:21:00,3,KS,20,41,0,0,0,0,0,37.67,-98.77,37.68,-98.73,1.6,70,0
390,2000,7,21,7/21/00,17:11:00,3,CO,8,49,0,0,0,0,0,37.5,-104.13,37.5,-104.13,0.5,50,0
439,2000,7,21,7/21/00,17:50:00,3,CO,8,50,1,0,0,0,0,40.38,-104.25,40.27,-104.2,8,440,0
440,2000,7,21,7/21/00,18:22:00,3,CO,8,51,0,0,0,0,0,39.82,-103.22,39.82,-103.22,0.1,20,0
400,2000,7,21,7/21/00,18:50:00,3,NE,31,40,0,0,0,0.04,0,41.53,-99,41.52,-99.02,2,30,0
338,2000,7,22,7/22/00,12:15:00,3,SC,45,11,0,0,0,0,0,34.33,-81.37,34.35,-81.33,0.2,20,0
450,2000,7,22,7/22/00,15:33:00,3,MS,28,17,0,0,0,0,0,30.37,-89.37,30.37,-89.37,0.1,20,0
451,2000,7,22,7/22/00,15:41:00,3,MS,28,18,0,0,0,0,0,30.48,-89.43,30.48,-89.43,0.1,20,0
452,2000,7,22,7/22/00,16:22:00,3,MS,28,19,0,0,0,0,0,30.48,-89.7,30.48,-89.7,0.1,20,0
454,2000,7,22,7/22/00,16:59:00,3,MS,28,20,0,0,0,0,0,30.83,-89.53,30.83,-89.53,0.1,20,0
449,2000,7,22,7/22/00,17:00:00,3,MS,28,21,0,0,0,0,0,30.4,-88.9,30.4,-88.9,0.1,20,0
453,2000,7,22,7/22/00,17:41:00,3,LA,22,32,0,0,0,0,0,30.43,-90.43,30.43,-90.43,0.1,20,0
455,2000,7,22,7/22/00,17:55:00,3,LA,22,33,0,0,0,0,0,30.25,-89.73,30.25,-89.73,0.1,20,0
1002,2000,7,22,7/22/00,18:56:00,3,CO,8,52,0,0,0,0,0,38.62,-102.7,38.6,-102.7,1,100,0
999,2000,7,22,7/22/00,19:11:00,3,CO,8,53,0,0,0,0,0,38.52,-102.68,38.48,-102.72,3,100,0
1000,2000,7,22,7/22/00,19:58:00,3,CO,8,54,0,0,0,0,0,38.17,-102.62,38.13,-102.62,3,50,0
1001,2000,7,22,7/22/00,20:00:00,3,CO,8,55,0,0,0,0,0,38.2,-102.77,38.15,-102.82,4,100,0
1003,2000,7,22,7/22/00,20:34:00,3,CO,8,56,0,0,0,0,0,38.05,-102.63,38.05,-102.63,1,50,0
1004,2000,7,22,7/22/00,21:20:00,3,CO,8,57,0,0,0,0,0,37.77,-102.83,37.75,-102.82,1,100,0
1028,2000,7,23,7/23/00,12:00:00,3,GA,13,20,1,0,0,0.35,0,34.42,-83.9,34.42,-83.9,0.5,70,0
1030,2000,7,23,7/23/00,12:50:00,3,GA,13,21,1,0,0,0.12,0,34.33,-83.67,34.33,-83.67,0.5,70,0
1029,2000,7,23,7/23/00,13:10:00,3,GA,13,22,0,1,0,0.1,0,34.3,-83.58,34.3,-83.53,1.5,100,0
423,2000,7,23,7/23/00,18:24:00,3,SC,45,12,0,0,0,0,0,33.45,-79.12,33.47,-79.1,1,40,0
407,2000,7,23,7/23/00,19:30:00,3,SC,45,13,0,0,0,0.2,0,32.78,-79.77,32.78,-79.77,0.1,40,0
443,2000,7,24,7/24/00,11:57:00,3,NC,37,19,0,0,0,0,0,36.38,-75.82,36.38,-75.82,0.5,20,0
442,2000,7,24,7/24/00,11:59:00,3,VA,51,8,0,0,0,0.02,0,36.65,-76.03,36.65,-76.03,0.2,20,0
1005,2000,7,24,7/24/00,16:50:00,3,SD,46,12,0,0,0,0,0,43.37,-100.3,43.37,-100.3,1,100,0
1006,2000,7,24,7/24/00,17:05:00,3,SD,46,13,0,0,0,0,0,43.23,-100.07,43.23,-100.07,0.5,10,0
991,2000,7,24,7/24/00,18:47:00,3,NE,31,41,1,0,0,0.08,0,42.63,-100.17,42.22,-100.18,22,350,0
362,2000,7,25,7/25/00,12:27:00,3,MN,27,13,0,0,0,0,0,46.88,-96.1,46.88,-96.1,0.5,50,0
491,2000,7,25,7/25/00,13:10:00,3,SD,46,14,0,0,0,0,0,45.08,-97.5,45.08,-97.5,0.1,10,0
1022,2000,7,25,7/25/00,14:50:00,3,MN,27,14,0,0,0,0,0,45.78,-93.7,45.78,-93.7,0.2,30,0
1020,2000,7,25,7/25/00,16:38:00,3,MN,27,15,0,0,0,0,0,44.93,-95.9,44.93,-95.9,0.1,10,0
1021,2000,7,25,7/25/00,16:45:00,3,MN,27,16,0,0,0,0,0,44.65,-96.27,44.65,-96.27,0.2,20,0
1019,2000,7,25,7/25/00,16:57:00,3,MN,27,17,4,15,1,20,0,44.9,-95.67,44.82,-95.55,9,160,0
430,2000,7,25,7/25/00,17:25:00,3,MN,27,18,0,0,0,0,0,44.47,-95.82,44.47,-95.82,0.1,50,0
431,2000,7,25,7/25/00,19:10:00,3,MN,27,19,2,0,0,0.15,0,43.63,-96.05,43.67,-96,3,200,0
432,2000,7,25,7/25/00,19:15:00,3,MN,27,20,0,0,0,0,0,43.63,-95.95,43.63,-95.95,0.1,50,0
1024,2000,7,25,7/25/00,19:15:00,3,MN,27,21,0,0,0,0,0,44.9,-93.83,44.9,-93.83,0.1,20,0
433,2000,7,25,7/25/00,19:20:00,3,MN,27,22,0,0,0,0,0,43.62,-95.8,43.62,-95.8,0.1,50,0
1023,2000,7,25,7/25/00,19:25:00,3,MN,27,23,0,0,0,0,0,44.9,-93.75,44.9,-93.75,0.1,20,0
434,2000,7,25,7/25/00,19:27:00,3,MN,27,24,0,0,0,0,0,43.62,-95.8,43.62,-95.8,0.1,50,0
435,2000,7,25,7/25/00,19:35:00,3,MN,27,25,0,0,0,0,0,43.67,-95.95,43.67,-95.95,0.1,50,0
420,2000,7,26,7/26/00,12:02:00,3,WI,55,13,0,0,0,0,0,44.97,-92.65,44.97,-92.65,0.1,20,0
974,2000,7,26,7/26/00,14:15:00,3,IA,19,40,0,0,0,0,0,42.08,-93.92,42.08,-93.92,0.2,20,0
975,2000,7,26,7/26/00,14:18:00,3,IA,19,41,1,0,0,0.01,0,41.88,-94.43,41.88,-94.47,3.6,40,0
376,2000,7,26,7/26/00,15:20:00,3,WI,55,14,0,0,0,0.01,0,43.68,-91.15,43.68,-91.13,0.5,30,0
386,2000,7,26,7/26/00,17:00:00,3,IA,19,42,0,0,0,0,0,41.43,-95.2,41.43,-95.2,0.1,10,0
1013,2000,7,27,7/27/00,19:07:00,3,WI,55,15,0,0,0,0,0,45.1,-87.85,45.1,-87.83,0.4,50,0
1014,2000,7,27,7/27/00,19:30:00,3,WI,55,16,0,0,0,0,0,45.05,-87.78,45.05,-87.78,0.1,20,0
413,2000,7,28,7/28/00,18:22:00,3,FL,12,40,0,0,0,0,0,28.45,-82.45,28.45,-82.45,0.3,0,0
414,2000,7,28,7/28/00,18:38:00,3,FL,12,41,0,0,0,0,0,28.42,-82.37,28.42,-82.37,0.1,0,0
355,2000,7,29,7/29/00,14:10:00,3,AR,5,36,0,0,0,0,0,35.93,-91.5,35.93,-91.48,1,50,0
444,2000,7,30,7/30/00,9:45:00,3,VA,51,9,0,0,0,0,0,37.97,-75.47,37.97,-75.47,0.2,20,0
415,2000,7,30,7/30/00,12:45:00,3,FL,12,42,0,0,0,0.03,0,28.03,-81.95,28.03,-81.95,0.2,0,0
405,2000,7,31,7/31/00,6:53:00,3,FL,12,43,0,0,0,0,0,29.77,-84.6,29.77,-84.6,0.1,50,0
393,2000,7,31,7/31/00,11:30:00,3,PA,42,5,0,0,0,0.01,0,39.78,-79.03,39.78,-79.05,1,100,0
356,2000,7,31,7/31/00,14:40:00,3,IL,17,52,0,0,0,0,0,41.95,-88.97,41.95,-88.97,0.5,50,0
385,2000,7,31,7/31/00,14:47:00,3,MD,24,8,0,0,0,0,0,38.38,-76.58,38.38,-76.58,0.5,30,0
402,2000,8,2,8/2/00,11:00:00,3,FL,12,44,0,0,0,0,0,26.33,-80.98,26.33,-80.98,0.1,10,0
518,2000,8,3,8/3/00,12:45:00,3,SC,45,14,0,0,0,0,0,32.77,-79.78,32.78,-79.77,0.1,20,0
1071,2000,8,3,8/3/00,16:15:00,3,ID,16,8,0,0,0,0,0,43.53,-116.22,43.53,-116.22,0,0,0
130,2000,8,3,8/3/00,16:33:00,3,ID,16,9,0,0,0,0,0,43.5,-116.22,43.5,-116.22,0.1,10,0
1070,2000,8,3,8/3/00,16:48:00,3,ID,16,10,0,0,0,0,0,43.57,-116.28,43.57,-116.28,0.1,10,0
1072,2000,8,3,8/3/00,16:51:00,3,ID,16,11,0,0,0,0,0,43.77,-116.27,43.77,-116.27,0.1,10,0
490,2000,8,4,8/4/00,22:00:00,3,SD,46,15,0,0,0,0,0,45.03,-99.13,45.03,-99.13,0.1,30,0
492,2000,8,5,8/5/00,1:00:00,3,SD,46,16,1,0,0,0.1,0,43.72,-98.07,43.72,-98.07,0.2,100,0
464,2000,8,5,8/5/00,14:43:00,3,WI,55,17,0,0,0,0.01,0,42.77,-89.33,42.77,-89.33,0.1,20,0
472,2000,8,6,8/6/00,20:45:00,3,OH,39,15,1,4,0,2,0,40.87,-82.3,40.87,-82.3,3,70,0
493,2000,8,7,8/7/00,18:03:00,3,SD,46,17,1,0,0,0.03,0,43.55,-98.08,43.55,-98.07,1,100,0
457,2000,8,7,8/7/00,18:24:00,3,ND,38,21,0,0,0,0,0,48.93,-102.17,48.9,-101.87,6,30,0
494,2000,8,7,8/7/00,18:29:00,3,SD,46,18,1,0,0,0.1,0,43.08,-98.17,43.08,-98.17,0.3,100,0
460,2000,8,7,8/7/00,19:05:00,3,ND,38,22,0,0,0,0,0,48.72,-101.47,48.67,-101.32,6,60,0
1044,2000,8,7,8/7/00,19:50:00,3,MN,27,26,1,0,0,0.4,0,43.68,-95.18,43.68,-95.18,2,200,0
1045,2000,8,7,8/7/00,20:10:00,3,MN,27,27,1,0,0,0.02,0,43.78,-95,43.78,-95,1,100,0
1046,2000,8,7,8/7/00,20:22:00,3,MN,27,28,1,0,0,0.03,0,43.78,-95,43.78,-95,1,100,0
1047,2000,8,7,8/7/00,20:25:00,3,MN,27,29,1,0,0,0.1,0,43.73,-95.12,43.73,-95.12,1,200,0
1048,2000,8,7,8/7/00,20:25:00,3,MN,27,30,1,0,0,0.1,0,44.05,-95.2,44.05,-95.2,1,100,0
1037,2000,8,9,8/9/00,14:00:00,3,VA,51,10,0,0,0,0,0,38.8,-78.58,38.8,-78.58,0.2,10,0
1038,2000,8,9,8/9/00,14:20:00,3,VA,51,11,1,0,0,0.01,0,38.38,-78.25,38.38,-78.25,0.5,50,0
466,2000,8,9,8/9/00,17:03:00,3,ME,23,2,2,0,0,0,0,44.83,-69.67,44.83,-69.67,3,500,0
473,2000,8,9,8/9/00,17:39:00,3,OH,39,16,0,0,0,0.03,0,41.67,-81.33,41.67,-81.33,1,50,0
